loyalty_number,avg_flights_per_year
973357,1.875
904669,1.5833333333333333
456117,1.7916666666666667
719300,0.2916666666666667
975477,1.6666666666666667
346809,1.375
434679,2.125
927339,1.4166666666666667
257981,1.75
243191,1.5
260726,1.625
937430,1.2083333333333333
921410,0.0
133730,1.4583333333333333
535233,1.25
197890,1.9583333333333333
242387,4.363636363636363
314065,1.625
810028,1.2083333333333333
142545,1.9166666666666667
147891,1.2916666666666667
587619,1.6666666666666667
816608,1.6666666666666667
547213,1.4166666666666667
916358,1.2916666666666667
571845,0.0
892556,0.0
474305,1.2916666666666667
584782,0.4791666666666667
283980,1.2083333333333333
848185,1.4166666666666667
545638,0.041666666666666664
225262,2.2083333333333335
713132,1.3541666666666667
759017,2.0
730008,0.0
150383,4.181818181818182
321666,1.875
654817,1.5
551248,1.3333333333333333
280602,0.0
175528,1.7083333333333333
538877,2.375
274765,0.625
530113,0.7083333333333334
238193,1.2916666666666667
927887,1.5
739345,1.2083333333333333
344121,1.75
205371,1.625
534324,0.0
998072,1.0
554255,0.20833333333333334
952911,0.75
280659,1.125
591758,1.2083333333333333
459999,1.0416666666666667
691855,0.0
238233,1.0
450125,0.0
979330,0.4583333333333333
790813,1.4166666666666667
888901,0.125
573986,0.2916666666666667
843919,0.5416666666666666
616835,5.636363636363637
541008,4.636363636363637
449441,7.7272727272727275
328446,1.4166666666666667
275413,6.090909090909091
851563,1.2916666666666667
346598,1.0416666666666667
374421,0.041666666666666664
419748,1.625
791202,1.625
377114,2.4583333333333335
853565,0.875
249352,1.625
330433,2.2083333333333335
315736,1.3333333333333333
321748,2.0416666666666665
208634,1.625
321427,0.2916666666666667
760614,0.7916666666666666
360732,0.041666666666666664
995693,0.375
776399,0.0
618524,1.1666666666666667
408493,0.9166666666666666
268307,1.5
330783,1.7083333333333333
434621,1.5
436235,1.125
634850,1.9166666666666667
267474,1.1666666666666667
967883,1.8333333333333333
670131,1.4166666666666667
278932,1.625
157712,1.9166666666666667
349539,0.9166666666666666
698505,1.5416666666666667
528782,0.0
537421,1.7916666666666667
262467,1.8333333333333333
995079,0.0
507189,1.4166666666666667
827819,1.4583333333333333
356712,1.3333333333333333
826136,1.7083333333333333
102982,1.2083333333333333
172757,2.0833333333333335
347955,1.5
415292,0.0
251779,1.0833333333333333
116895,3.4545454545454546
199478,1.5416666666666667
918017,0.5
699194,4.818181818181818
945703,4.7272727272727275
827288,1.0
898437,1.7083333333333333
700225,1.625
922634,1.3333333333333333
331857,1.25
437262,0.0
162472,0.5
686555,1.7083333333333333
826304,1.5
283122,1.5416666666666667
287979,1.0833333333333333
678858,0.0
802002,1.625
596911,1.1666666666666667
627568,0.2916666666666667
324242,1.9583333333333333
229621,1.625
686474,0.0
571340,0.4166666666666667
871203,1.0
987153,1.4166666666666667
380795,1.5
222050,5.090909090909091
425445,1.375
514632,1.4583333333333333
522234,1.2916666666666667
752259,1.2916666666666667
954836,1.9166666666666667
188542,1.7083333333333333
840088,1.9583333333333333
575948,1.75
706962,1.625
168316,2.25
843212,1.625
815603,0.0
207576,1.8333333333333333
996488,1.8333333333333333
481931,2.125
870223,0.2916666666666667
696502,1.5
817613,1.7083333333333333
309727,1.6666666666666667
304131,1.3333333333333333
781777,1.625
736459,1.25
921777,1.0833333333333333
667341,1.2916666666666667
453032,1.8333333333333333
451448,0.0
352581,0.4583333333333333
997439,1.7083333333333333
502390,2.125
667974,1.4166666666666667
682521,0.875
191869,1.5833333333333333
705243,1.3333333333333333
491907,1.3333333333333333
767385,1.625
346456,1.6666666666666667
612019,0.6666666666666666
931054,0.4583333333333333
641050,1.8333333333333333
305150,1.75
605269,1.0
708555,0.4583333333333333
752609,1.375
128325,1.375
197642,1.5
652636,0.20833333333333334
406254,1.7083333333333333
677976,0.375
691332,2.909090909090909
657842,6.909090909090909
919832,3.3636363636363638
822723,0.3333333333333333
557739,2.2083333333333335
976307,1.7083333333333333
817168,2.25
307049,2.25
887266,1.625
649052,1.2083333333333333
945166,2.2083333333333335
892219,1.5416666666666667
400224,1.625
413815,1.8333333333333333
571180,1.375
584458,1.75
531430,2.0
541741,1.2916666666666667
484592,2.0416666666666665
861470,1.0
908123,2.0416666666666665
136715,1.2916666666666667
348463,1.5416666666666667
115427,1.9166666666666667
915243,0.75
941092,0.625
566737,1.6666666666666667
646038,1.5
899592,1.3333333333333333
633299,1.3333333333333333
144565,1.4583333333333333
958274,1.8333333333333333
396997,2.0
157674,1.75
817932,0.875
423821,1.375
465476,0.0
631543,2.25
849330,1.7083333333333333
263921,1.7083333333333333
633787,1.5
716961,1.9583333333333333
254860,1.375
652790,1.0416666666666667
672570,1.9583333333333333
136906,2.0833333333333335
514493,0.20833333333333334
952859,0.0
201273,8.090909090909092
122173,0.0
197855,0.25
903146,1.4166666666666667
216596,4.181818181818182
655614,0.0
145480,1.5416666666666667
933053,3.8181818181818183
686728,6.818181818181818
652642,0.9583333333333334
267291,1.75
270499,1.4583333333333333
103970,1.875
789288,0.375
656639,1.7083333333333333
814236,1.0
122685,1.375
